,ID,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG
10018,48210951,0,52.0,0,13.0,"$115,656",No,"$333,533",Yes,z_F,Bachelors,Manager,44,Private,"$7,000",7,z_SUV,no,$0,0,No,4,$0,5.0,0
8307,340661905,0,45.0,0,7.0,"$4,034",No,,Yes,z_F,z_High School,Student,40,Commercial,"$6,500",13,z_SUV,no,$0,0,No,0,$0,5.0,0
7059,674944543,0,47.0,0,12.0,"$102,445",No,"$364,620",Yes,z_F,Masters,Professional,57,Private,"$16,440",17,Minivan,no,$0,0,No,1,$0,9.0,0
5017,161886800,0,46.0,1,13.0,"$71,512",No,"$224,539",Yes,z_F,Bachelors,Professional,26,Private,"$30,270",1,Minivan,no,$0,0,No,0,"$3,868",,1
8758,725222167,0,44.0,0,7.0,"$38,589",No,"$130,713",z_No,M,z_High School,z_Blue Collar,17,Commercial,"$30,570",6,Panel Truck,yes,"$1,000",1,No,3,$0,2.0,0
2485,926349945,0,50.0,0,7.0,"$108,139",No,$0,z_No,z_F,Bachelors,Professional,46,Private,"$17,440",11,Minivan,no,"$3,924",1,No,2,$0,10.0,0
9922,19613798,0,37.0,0,11.0,"$62,849",No,"$225,934",Yes,z_F,Bachelors,Professional,41,Private,"$21,990",13,Minivan,no,"$7,761",2,No,7,$0,6.0,0
3018,182123622,0,37.0,0,12.0,"$67,702",No,"$181,552",Yes,M,Bachelors,z_Blue Collar,11,Commercial,"$11,770",1,Pickup,no,"$48,743",3,Yes,6,$0,7.0,1
555,779818728,0,41.0,0,10.0,"$28,409",No,$0,z_No,M,z_High School,Clerical,27,Commercial,"$8,140",10,Pickup,yes,$0,0,No,1,$0,8.0,0
3969,924174978,1,41.0,1,11.0,"$78,599",Yes,"$255,423",z_No,z_F,Bachelors,z_Blue Collar,23,Commercial,"$1,500",4,Sports Car,no,"$7,579",2,No,5,$0,4.0,0
3469,850807236,0,38.0,3,16.0,"$22,626",No,"$60,718",Yes,z_F,<High School,z_Blue Collar,46,Private,"$1,500",1,Sports Car,no,"$5,764",1,No,3,$0,5.0,0
9858,632514834,0,36.0,3,12.0,"$52,073",Yes,$0,z_No,z_F,z_High School,Clerical,25,Private,"$5,600",6,z_SUV,no,"$2,405",3,No,5,$0,1.0,1
4280,634343179,0,31.0,0,8.0,"$99,247",No,$0,z_No,M,Masters,,44,Commercial,"$27,080",11,Panel Truck,no,$0,0,No,1,$0,,0
708,918437912,0,50.0,0,9.0,"$58,628",No,$0,z_No,M,Masters,Lawyer,14,Private,"$12,360",1,Minivan,yes,$0,0,No,0,"$1,030",15.0,0
3667,392846226,0,36.0,0,10.0,"$48,812",No,"$149,499",Yes,z_F,z_High School,Clerical,12,Commercial,"$14,960",7,Pickup,no,"$4,056",2,No,1,$0,1.0,0
9469,518979161,0,50.0,0,10.0,"$10,720",No,$0,z_No,z_F,z_High School,Student,16,Private,"$8,510",1,z_SUV,no,$0,0,No,0,$0,12.0,0
3081,621052804,0,45.0,0,15.0,"$134,640",No,$0,z_No,z_F,Masters,Lawyer,38,Private,"$10,000",4,z_SUV,no,$0,0,No,3,"$3,901",23.0,1
8347,127519263,0,52.0,0,15.0,"$23,772",No,"$159,235",Yes,M,z_High School,Clerical,25,Commercial,"$23,860",7,Panel Truck,no,$0,0,No,0,$0,-1.0,0
77,935079846,0,48.0,0,9.0,,No,$0,z_No,M,PhD,,31,Commercial,"$33,710",3,Panel Truck,no,"$34,351",2,Yes,2,$0,18.0,0
10176,401136567,0,51.0,0,,"$57,387",No,"$181,408",Yes,M,Bachelors,Professional,51,Private,"$7,330",7,Minivan,no,"$19,199",1,Yes,0,"$2,811",12.0,0
8781,446406246,0,52.0,0,11.0,"$101,806",No,"$296,076",z_No,z_F,Masters,,36,Commercial,"$20,860",7,Pickup,no,"$26,433",3,Yes,0,$0,22.0,0
6463,800556705,1,37.0,2,11.0,"$50,718",Yes,$0,z_No,z_F,<High School,Clerical,51,Private,"$14,230",1,z_SUV,no,"$3,649",1,No,5,$0,3.0,0
2326,193971676,0,46.0,0,13.0,"$74,501",No,"$190,592",Yes,z_F,Bachelors,Professional,46,Private,"$26,020",13,Sports Car,no,"$9,845",2,No,4,$0,2.0,0
6427,262510033,0,45.0,0,9.0,"$53,431",No,$0,z_No,z_F,Bachelors,Professional,5,Private,"$8,050",3,z_SUV,no,"$4,408",1,No,5,"$4,009",11.0,1
6327,544112828,1,36.0,2,7.0,"$82,565",Yes,$0,z_No,M,Bachelors,Professional,14,Commercial,"$26,440",6,Panel Truck,yes,"$3,699",3,No,0,"$5,800",18.0,1
2012,946949662,0,37.0,0,9.0,"$40,716",No,"$170,076",Yes,z_F,z_High School,Professional,9,Private,"$5,570",1,z_SUV,no,"$24,183",2,No,3,$0,6.0,0
2537,622982638,0,49.0,0,11.0,"$165,193",No,$0,z_No,z_F,Masters,,29,Commercial,"$27,170",1,Pickup,no,$0,0,Yes,0,$0,15.0,0
8306,819787970,0,36.0,4,12.0,"$80,475",No,"$222,266",Yes,z_F,Bachelors,Professional,39,Private,"$9,550",10,z_SUV,no,$0,0,Yes,2,$0,8.0,0
2502,481512763,0,47.0,0,10.0,"$45,669",No,"$165,229",z_No,M,Masters,Manager,34,Commercial,"$9,840",8,Pickup,yes,$0,0,Yes,0,$0,8.0,1
6928,311775704,0,54.0,0,12.0,"$69,620",No,$0,z_No,z_F,Masters,Lawyer,38,Private,"$21,940",1,Minivan,no,$0,0,No,3,$0,8.0,0
3712,15637995,0,51.0,0,,"$18,261",No,"$98,659",Yes,z_F,<High School,z_Blue Collar,32,Private,"$7,100",1,z_SUV,no,$0,0,No,0,$0,2.0,0
9186,959710460,0,48.0,0,13.0,"$36,504",No,"$209,726",z_No,z_F,<High School,z_Blue Collar,35,Private,"$15,550",6,z_SUV,no,$0,0,Yes,0,$0,3.0,1
3867,599358562,0,55.0,0,12.0,"$157,057",No,$0,z_No,z_F,Masters,Manager,21,Private,"$23,440",1,Minivan,no,$0,0,No,0,$0,12.0,0
9921,626405438,0,47.0,0,12.0,"$25,738",No,$0,z_No,M,<High School,Clerical,28,Private,"$4,070",3,Minivan,yes,"$5,416",1,No,0,$0,6.0,0
151,411375726,0,46.0,1,,"$67,278",No,"$220,556",Yes,z_F,Masters,Lawyer,49,Private,"$20,210",1,Minivan,no,$0,0,No,0,$0,15.0,0
6005,974827347,0,56.0,0,13.0,"$49,010",No,"$212,621",Yes,M,Bachelors,z_Blue Collar,13,Commercial,"$14,670",13,Minivan,yes,$0,0,No,0,$0,12.0,0
7010,488795290,0,32.0,4,0.0,$0,No,"$62,607",Yes,z_F,z_High School,Home Maker,40,Private,"$15,210",10,Minivan,no,$0,0,No,0,$0,0.0,0
2943,69309215,0,52.0,0,6.0,"$109,493",No,"$279,275",Yes,z_F,Bachelors,Professional,26,Commercial,"$27,790",11,Van,no,$0,0,No,0,$0,13.0,0
7510,886732326,0,56.0,0,12.0,"$77,658",No,"$272,962",Yes,z_F,Masters,Lawyer,64,Private,"$15,270",7,z_SUV,no,"$7,705",1,No,7,$840,19.0,1
739,329152754,0,36.0,2,10.0,"$40,180",No,"$164,346",Yes,z_F,Masters,Home Maker,23,Private,"$3,320",1,Sports Car,no,$0,0,No,0,$0,0.0,0
3703,428914455,0,40.0,0,13.0,"$53,059",No,"$220,548",Yes,M,Bachelors,Professional,38,Commercial,"$18,450",10,Van,yes,$0,0,No,0,$0,14.0,0
9314,856378045,0,53.0,0,13.0,"$11,322",No,$0,z_No,z_F,<High School,Student,63,Private,"$8,330",4,z_SUV,no,"$5,732",1,No,7,$0,6.0,0
10295,215633551,0,36.0,0,7.0,"$6,256",No,$0,z_No,M,z_High School,Student,41,Private,"$5,600",1,Pickup,no,$0,0,No,0,$0,8.0,0
9610,34418052,0,49.0,0,11.0,"$53,350",No,"$220,481",Yes,M,z_High School,Manager,5,Private,"$1,500",4,Minivan,no,$0,0,No,1,$0,8.0,0
5914,678132791,0,48.0,0,5.0,"$154,099",No,$0,z_No,z_F,PhD,,25,Commercial,"$29,330",1,Van,no,$0,0,No,0,$0,15.0,0
9762,162650357,0,49.0,0,11.0,"$25,844",No,"$154,309",Yes,z_F,z_High School,Clerical,43,Private,"$9,280",3,z_SUV,no,$0,0,No,0,$0,8.0,1
4102,1860885,0,44.0,0,12.0,,No,"$328,587",Yes,z_F,PhD,Doctor,37,Private,"$19,480",13,Pickup,no,$0,0,Yes,0,$0,,0
7886,943487889,1,33.0,3,13.0,"$28,065",Yes,"$112,596",z_No,M,Bachelors,Clerical,33,Private,"$4,310",10,Minivan,no,"$30,254",3,Yes,0,$781,8.0,1
1914,119301768,0,22.0,0,8.0,"$40,245",No,"$98,218",Yes,z_F,z_High School,Clerical,34,Private,"$7,920",7,Sports Car,yes,"$1,836",1,No,9,"$1,479",6.0,0
8654,336802223,0,41.0,0,,"$24,342",No,"$190,366",Yes,z_F,z_High School,Home Maker,5,Commercial,"$30,300",1,Pickup,no,"$7,071",1,No,0,$0,9.0,0
1634,624042477,0,44.0,2,,"$27,039",Yes,$0,z_No,z_F,z_High School,Student,49,Private,"$11,270",6,z_SUV,no,"$2,189",2,No,5,"$1,342",5.0,1
6059,949833258,0,37.0,0,7.0,"$64,379",No,$0,z_No,M,Bachelors,z_Blue Collar,88,Commercial,"$15,030",1,Minivan,yes,$0,0,No,0,"$8,351",10.0,1
3506,62426525,0,33.0,1,12.0,"$25,989",No,"$137,836",Yes,M,<High School,z_Blue Collar,48,Private,"$9,490",6,Minivan,yes,$0,0,No,4,$0,8.0,0
10085,654393966,0,60.0,0,11.0,"$186,590",No,"$501,867",z_No,M,PhD,,31,Commercial,"$26,160",4,Panel Truck,yes,$0,0,No,0,$0,11.0,0
8935,833942385,0,42.0,0,,"$2,916",No,"$92,800",Yes,z_F,Masters,Home Maker,62,Private,"$16,900",1,z_SUV,no,$0,0,No,0,$0,21.0,0
4470,59670547,0,53.0,0,12.0,"$30,360",No,"$171,625",z_No,z_F,z_High School,Clerical,12,Private,"$12,000",6,z_SUV,no,"$6,060",1,Yes,4,$0,0.0,1
4792,564608196,0,58.0,0,13.0,"$88,985",No,"$224,145",Yes,z_F,Masters,Professional,15,Private,"$15,800",3,z_SUV,no,$0,0,No,0,$0,1.0,0
5086,51278489,0,58.0,0,13.0,"$88,490",No,$0,z_No,z_F,Bachelors,Manager,52,Private,"$10,350",11,z_SUV,no,"$2,737",2,No,0,"$1,036",11.0,1
10126,708296698,0,56.0,0,6.0,"$103,503",No,,z_No,M,Masters,Professional,31,Commercial,"$40,950",4,Panel Truck,yes,$0,0,No,0,$0,16.0,0
9723,573840556,2,43.0,2,6.0,"$15,726",Yes,,z_No,z_F,z_High School,Home Maker,30,Private,"$7,370",10,Sports Car,no,"$3,588",3,No,4,"$9,742",4.0,1
7338,14955631,0,57.0,0,12.0,"$73,926",No,"$231,118",Yes,M,Masters,Lawyer,29,Private,"$12,970",1,Minivan,yes,$0,0,No,5,$0,19.0,1
8047,890760335,0,44.0,2,17.0,"$38,212",No,"$170,400",Yes,M,z_High School,Clerical,26,Private,"$8,780",1,Minivan,no,$0,0,Yes,0,$0,0.0,0
3732,851811867,0,51.0,0,0.0,$0,No,"$101,007",Yes,z_F,<High School,Student,36,Private,"$10,360",6,z_SUV,no,$0,0,No,3,$0,6.0,1
5011,326900696,0,42.0,0,,"$100,790",No,$0,z_No,z_F,Masters,Manager,34,Private,"$21,010",1,Sports Car,no,$0,0,No,0,"$4,256",12.0,1
9518,136051346,0,49.0,0,,"$64,286",No,$0,z_No,z_F,Masters,Manager,37,Commercial,"$45,130",7,Panel Truck,no,"$4,423",2,No,7,$0,14.0,0
2836,603529951,0,58.0,0,,$0,No,$0,Yes,z_F,<High School,Student,39,Private,"$12,820",10,Sports Car,no,$0,0,No,0,$0,7.0,0
1767,764367277,0,57.0,0,10.0,"$130,831",No,"$365,792",Yes,z_F,PhD,Lawyer,24,Private,"$14,580",4,z_SUV,no,$0,0,No,0,$0,10.0,0
6377,506114012,0,53.0,0,13.0,"$109,950",No,"$293,399",Yes,z_F,PhD,Doctor,45,Private,"$17,500",6,z_SUV,no,$0,0,No,0,$0,13.0,0
10277,573751437,0,34.0,0,7.0,"$64,890",No,$0,z_No,z_F,Bachelors,Manager,36,Private,"$7,990",8,z_SUV,no,$0,0,No,1,$0,10.0,0
5981,744594228,0,40.0,3,16.0,"$57,371",No,"$251,268",Yes,z_F,Bachelors,Clerical,35,Private,"$7,100",4,Sports Car,no,$0,0,No,1,$0,7.0,0
7461,298201589,0,47.0,0,11.0,"$45,416",No,"$146,899",Yes,z_F,z_High School,z_Blue Collar,15,Commercial,"$10,340",1,Sports Car,no,$0,0,No,3,"$9,605",4.0,1
7109,49425975,1,38.0,2,11.0,"$52,715",No,"$177,273",Yes,z_F,z_High School,z_Blue Collar,19,Commercial,"$8,370",1,Sports Car,no,"$4,707",3,No,6,"$19,470",0.0,1
8524,650809708,0,43.0,0,10.0,,No,"$155,212",Yes,M,Masters,,18,Commercial,"$30,500",1,Panel Truck,yes,$0,0,No,2,$0,17.0,0
2931,763128763,0,57.0,0,13.0,"$140,694",No,$0,z_No,M,PhD,,28,Commercial,"$21,750",9,Van,yes,$0,0,No,0,"$3,857",15.0,1
4096,499001916,0,48.0,0,10.0,"$71,976",No,"$207,191",z_No,M,Bachelors,z_Blue Collar,21,Commercial,"$34,790",4,Panel Truck,yes,$0,0,No,3,$0,12.0,0
7723,37965490,0,48.0,0,13.0,"$75,386",No,"$207,203",Yes,z_F,Masters,Manager,5,Private,"$17,570",1,z_SUV,no,$0,0,Yes,3,$0,,0
6478,820425739,0,42.0,0,11.0,"$29,929",No,"$124,756",z_No,M,z_High School,Professional,41,Private,"$15,320",4,Minivan,yes,$0,0,No,0,$0,2.0,0
5016,436659487,0,63.0,0,11.0,"$4,103",No,"$103,570",Yes,z_F,<High School,Home Maker,51,Private,"$16,180",4,Minivan,no,$0,0,No,0,$0,,1
5219,528622589,0,44.0,0,11.0,"$76,548",No,"$214,584",Yes,z_F,Bachelors,Professional,20,Private,"$5,500",1,Sports Car,no,"$6,999",3,No,2,$0,10.0,0
1395,148932515,0,34.0,0,12.0,"$102,604",No,"$276,929",Yes,M,Bachelors,Professional,38,Commercial,"$21,620",7,Van,no,"$5,222",1,No,2,"$4,451",-1.0,1
9578,369429861,0,50.0,0,8.0,"$28,436",No,"$142,428",Yes,z_F,z_High School,Clerical,40,Private,"$6,480",1,Sports Car,no,$0,0,No,0,$0,8.0,0
4235,242693469,0,52.0,0,11.0,"$124,487",No,"$323,693",z_No,z_F,PhD,Doctor,41,Private,"$21,970",6,Minivan,no,$0,0,No,0,$0,25.0,0
4912,207249253,0,44.0,0,,"$22,295",No,"$127,813",Yes,z_F,<High School,Clerical,35,Private,"$13,260",4,Sports Car,no,$0,0,Yes,3,$0,2.0,0
7140,790103836,0,34.0,0,,"$97,934",No,"$297,260",z_No,M,Masters,,30,Commercial,"$16,650",10,Van,no,$0,0,Yes,3,"$17,618",10.0,0
8629,65357926,0,51.0,0,13.0,"$169,761",No,"$443,175",Yes,M,PhD,,26,Commercial,"$26,330",13,Panel Truck,no,"$2,683",5,No,0,$0,11.0,0
3591,983718507,0,32.0,1,11.0,"$29,644",No,"$148,568",Yes,z_F,z_High School,Clerical,32,Private,"$34,880",13,z_SUV,no,"$46,912",1,Yes,2,"$18,883",9.0,1
4502,485161867,0,31.0,0,6.0,"$11,898",No,"$118,273",Yes,M,<High School,z_Blue Collar,39,Private,"$10,700",3,Minivan,yes,$0,0,No,2,$0,0.0,0
4260,301985160,0,52.0,2,15.0,"$148,443",Yes,$0,z_No,z_F,Masters,Lawyer,40,Private,"$18,500",6,Sports Car,no,"$7,014",2,No,4,"$3,159",9.0,0
10254,912021291,0,50.0,0,15.0,"$55,841",No,"$211,559",Yes,z_F,Bachelors,Professional,39,Commercial,"$45,410",6,Panel Truck,no,$0,0,No,0,$0,5.0,1
2105,96249983,0,48.0,0,10.0,"$38,027",No,$0,z_No,M,z_High School,Professional,40,Commercial,"$6,300",7,Pickup,yes,"$34,506",3,Yes,5,"$1,691",1.0,1
6673,422229191,2,37.0,2,9.0,"$148,595",Yes,"$391,168",z_No,M,Masters,,62,Commercial,"$23,380",1,Panel Truck,yes,$0,0,No,4,"$3,488",18.0,1
1274,463293999,0,55.0,0,17.0,"$48,263",No,"$200,023",Yes,z_F,z_High School,Professional,39,Private,"$24,450",1,Minivan,no,$0,0,No,0,$0,8.0,0
118,755810990,0,42.0,0,11.0,"$44,705",No,"$217,885",Yes,z_F,Bachelors,Professional,50,Private,"$12,840",1,z_SUV,no,"$1,533",2,No,0,"$5,125",8.0,1
138,351243985,0,56.0,0,16.0,"$76,954",No,"$249,290",z_No,M,Bachelors,Professional,44,Private,"$19,540",6,Minivan,yes,$0,0,Yes,0,$0,12.0,1
4550,54333597,0,67.0,0,15.0,"$5,013",No,"$107,287",Yes,z_F,z_High School,Student,32,Commercial,"$8,670",1,Sports Car,no,"$5,900",1,No,8,"$2,415",9.0,1
6685,333901497,0,46.0,0,11.0,"$111,321",No,"$272,246",Yes,M,Masters,Manager,30,Commercial,"$22,830",1,Panel Truck,yes,$0,0,No,0,$0,13.0,0
696,772511257,0,58.0,0,13.0,,No,"$315,515",z_No,z_F,PhD,Home Maker,5,Private,"$21,270",6,Sports Car,no,"$2,622",1,No,2,"$5,386",19.0,0
7616,971818627,0,50.0,0,6.0,"$18,651",No,,Yes,M,z_High School,Home Maker,38,Private,"$27,430",1,Minivan,yes,$0,0,No,1,$0,,0
7434,351934785,0,38.0,0,,,No,$0,z_No,z_F,Masters,Lawyer,14,Private,"$10,970",10,z_SUV,no,$0,0,No,0,$0,1.0,1
5301,728106713,0,51.0,0,12.0,"$42,326",No,"$164,805",Yes,z_F,Masters,Lawyer,11,Private,"$12,660",1,Sports Car,no,$0,0,No,1,$0,17.0,0
1235,510253097,0,44.0,0,8.0,"$90,623",No,$0,z_No,z_F,Masters,Professional,46,Private,"$27,700",7,Sports Car,no,$0,0,No,1,$0,10.0,0
70,45830738,0,32.0,4,12.0,"$20,822",No,"$76,022",Yes,z_F,z_High School,Home Maker,46,Private,"$6,880",13,z_SUV,no,"$7,896",3,No,0,$866,2.0,1
10261,775571725,0,57.0,2,18.0,"$112,420",No,"$314,882",Yes,z_F,Bachelors,Professional,35,Private,"$45,420",6,Van,no,$0,0,No,0,$0,7.0,0
5599,280118710,0,55.0,0,10.0,"$40,683",No,"$163,194",Yes,z_F,z_High School,z_Blue Collar,32,Commercial,"$5,570",13,Sports Car,no,$0,0,No,3,"$6,835",9.0,1
3050,949512116,0,51.0,0,14.0,"$72,853",No,"$217,443",Yes,M,Masters,,5,Commercial,"$6,200",11,Pickup,no,"$5,176",3,No,0,$0,15.0,0
7197,450038290,0,40.0,0,9.0,"$12,953",No,$0,z_No,M,Bachelors,Student,30,Private,"$2,800",1,Minivan,yes,"$1,354",2,No,0,"$2,112",,1
686,568406779,0,27.0,3,14.0,"$40,889",No,"$147,629",Yes,z_F,z_High School,Clerical,28,Private,"$29,990",3,Minivan,no,$0,0,No,0,$0,0.0,0
4043,432497940,0,37.0,1,13.0,"$22,021",Yes,$0,z_No,z_F,z_High School,Clerical,10,Private,"$14,360",4,z_SUV,no,$0,0,No,1,"$8,748",2.0,1
4178,699416315,0,58.0,2,13.0,"$63,695",Yes,$0,z_No,z_F,Masters,Manager,30,Private,"$14,170",3,Sports Car,no,"$2,629",1,No,0,"$2,895",10.0,1
10146,723237554,0,30.0,2,13.0,"$28,329",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,32,Private,"$8,010",1,Sports Car,no,$0,0,No,0,"$5,672",9.0,0
5119,563458110,0,40.0,0,11.0,"$93,840",No,"$233,716",Yes,z_F,Masters,Lawyer,31,Private,"$14,010",10,z_SUV,no,$0,0,No,0,$0,5.0,0
6309,576465181,0,47.0,0,9.0,"$71,544",No,$0,z_No,M,z_High School,z_Blue Collar,36,Commercial,"$29,900",4,Panel Truck,yes,"$10,768",3,No,0,"$2,217",7.0,1
1784,327583169,0,32.0,1,12.0,"$67,776",No,"$210,356",Yes,z_F,z_High School,z_Blue Collar,19,Commercial,"$22,450",6,Pickup,no,$0,0,No,0,$0,2.0,0
4491,776944387,0,47.0,0,0.0,$0,No,"$103,572",Yes,z_F,Masters,Home Maker,51,Private,"$1,500",6,Sports Car,no,$0,0,No,1,$0,15.0,0
5451,431463025,0,39.0,1,0.0,$0,No,$0,Yes,z_F,z_High School,Student,29,Private,"$5,200",1,z_SUV,no,$0,0,No,1,$0,6.0,0
3616,198105757,0,38.0,0,10.0,"$77,912",No,"$242,830",Yes,z_F,z_High School,z_Blue Collar,9,Commercial,"$22,760",13,Minivan,no,$0,0,No,2,$0,1.0,0
9274,620024930,0,54.0,0,6.0,"$102,135",No,"$282,192",z_No,z_F,Masters,Lawyer,16,Private,"$29,070",1,z_SUV,no,$0,0,No,0,$0,16.0,0
6412,818056111,0,43.0,0,7.0,"$79,249",No,"$269,116",Yes,M,Bachelors,z_Blue Collar,24,Commercial,"$14,020",4,Minivan,no,$0,0,No,0,$0,10.0,0
8626,706760299,0,47.0,0,9.0,"$44,977",No,,Yes,M,z_High School,z_Blue Collar,41,Commercial,"$6,000",10,Pickup,yes,"$8,060",2,No,6,"$4,824",2.0,1
2499,414522894,0,25.0,3,11.0,"$14,461",No,"$108,046",Yes,z_F,z_High School,Clerical,30,Private,"$9,990",1,z_SUV,no,$0,0,Yes,2,"$8,107",0.0,1
9095,813128,0,39.0,2,15.0,,No,"$186,500",Yes,z_F,<High School,z_Blue Collar,48,Commercial,"$10,600",17,Pickup,no,$0,0,No,0,$0,7.0,0
6462,63479241,0,51.0,0,0.0,$0,No,"$109,280",Yes,z_F,z_High School,Home Maker,13,Private,"$7,140",11,Sports Car,no,$0,0,No,0,$0,0.0,1
1119,884766026,0,44.0,0,11.0,"$63,180",No,"$243,719",Yes,z_F,Masters,Lawyer,23,Private,"$12,030",1,Sports Car,no,$0,0,No,1,$0,11.0,0
7203,614454384,0,50.0,0,11.0,"$44,193",No,"$199,947",Yes,z_F,Bachelors,Clerical,12,Private,"$11,400",17,z_SUV,no,$0,0,Yes,0,$0,10.0,0
2135,931557642,0,40.0,0,5.0,"$89,531",No,$0,z_No,z_F,Bachelors,z_Blue Collar,26,Commercial,"$30,300",4,Pickup,no,"$4,441",1,No,6,$0,8.0,0
2453,972116350,0,53.0,0,15.0,"$105,178",No,"$313,734",Yes,z_F,PhD,Doctor,25,Private,"$12,020",4,Minivan,no,$0,0,No,0,$0,8.0,0
4501,822574090,0,47.0,0,17.0,"$34,127",No,"$181,309",Yes,z_F,Bachelors,Manager,33,Private,"$4,910",4,Sports Car,no,"$7,244",1,No,3,$0,5.0,0
680,52463713,0,51.0,0,12.0,"$78,609",No,"$281,358",z_No,M,Bachelors,Professional,37,Private,"$18,910",1,Van,yes,$0,0,No,0,$0,10.0,0
5650,347728998,2,41.0,4,8.0,"$6,352",No,$0,Yes,M,<High School,Student,53,Private,"$12,930",13,Minivan,no,"$5,513",2,No,0,$0,2.0,0
5835,112086182,0,54.0,0,0.0,$0,No,"$74,945",Yes,z_F,z_High School,Home Maker,56,Private,"$1,500",4,z_SUV,no,$0,0,No,0,"$2,986",1.0,1
6631,367581939,0,21.0,3,11.0,"$46,671",No,"$125,555",Yes,z_F,z_High School,Clerical,29,Private,"$22,140",6,Minivan,no,"$7,326",1,No,0,$0,,0
6257,906260126,0,44.0,0,10.0,"$57,714",No,$0,z_No,M,Bachelors,Manager,5,Commercial,"$21,450",10,Van,yes,$0,0,No,5,$0,0.0,0
4120,43203770,0,46.0,0,0.0,$0,No,"$88,189",Yes,z_F,Bachelors,Home Maker,44,Private,"$8,370",7,Sports Car,no,"$4,123",3,No,0,$0,0.0,0
212,34434267,0,58.0,0,12.0,"$22,181",No,"$185,459",z_No,z_F,z_High School,Clerical,24,Private,"$17,880",7,Sports Car,no,"$9,873",3,No,5,"$3,705",0.0,1
5411,977453384,0,46.0,0,12.0,"$54,945",No,,Yes,z_F,z_High School,Professional,40,Private,"$12,220",1,z_SUV,no,"$6,780",1,No,0,"$4,915",9.0,1
7481,498146968,0,34.0,0,13.0,"$23,711",No,$0,z_No,M,z_High School,Clerical,24,Private,"$7,670",10,Pickup,yes,"$3,158",3,No,5,"$5,759",9.0,1
6976,286577683,0,52.0,0,12.0,"$7,716",No,"$59,860",Yes,M,<High School,Student,54,Commercial,"$9,070",1,Pickup,yes,$0,0,No,1,$0,,0
